Point_id,Cluster_id
0,0
1,1
2,0
3,7030
4,7030
5,4
6,6
7,6
8,8
9,9
10,2
11,6
12,8
13,13
14,7030
15,6
16,13
17,7030
18,4
19,19
20,9
21,4
22,19
23,19
24,0
25,4
26,4
27,4
28,9
29,8
30,13
31,5
32,1
33,19
34,9
35,1
36,1
37,17
38,7030
39,7030
40,0
41,2
42,5
43,7030
44,4
45,6
46,4
47,6
48,17
49,8
50,17
51,7030
52,6
53,13
54,9
55,5
56,6
57,17
58,4
59,7030
60,6
61,9
62,7030
63,17
64,19
65,19
66,13
67,7030
68,4
69,7030
70,13
71,9
72,4
73,13
74,7030
75,19
76,0
77,0
78,13
79,7030
80,9
81,5
82,2
83,19
84,5
85,7030
86,17
87,7030
88,4
89,13
90,17
91,7030
92,1
93,4
94,6
95,9
96,9
97,6
98,19
99,1
100,7030
101,19
102,8
103,7030
104,8
105,7030
106,8
107,5
108,19
109,2
110,8
111,0
112,19
113,7030
114,8
115,5
116,5
117,19
118,2
119,17
120,0
121,13
122,17
123,8
124,2
125,8
126,2
127,17
128,9
129,5
130,19
131,19
132,7030
133,7030
134,8
135,19
136,2
137,8
138,13
139,8
140,2
141,2
142,2
143,5
144,5
145,1
146,5
147,4
148,8
149,1
150,1
151,8
152,19
153,0
154,0
155,1
156,13
157,17
158,7030
159,1
160,19
161,1
162,13
163,19
164,17
165,4
166,17
167,8
168,17
169,8
170,9
171,2
172,19
173,8
174,0
175,17
176,4
177,17
178,6
179,17
180,17
181,7030
182,5
183,2
184,5
185,1
186,7030
187,2
188,17
189,5
190,17
191,0
192,0
193,7030
194,13
195,0
196,13
197,17
198,17
199,7030
200,13
201,0
202,4
203,9
204,6
205,19
206,9
207,19
208,4
209,4
210,13
211,4
212,7030
213,19
214,7030
215,9
216,8
217,1
218,5
219,17
220,2
221,17
222,13
223,1
224,19
225,5
226,7030
227,17
228,17
229,1
230,13
231,0
232,6
233,4
234,6
235,17
236,6
237,13
238,9
239,4
240,7030
241,19
242,19
243,1
244,6
245,1
246,4
247,7030
248,4
249,8
250,17
251,19
252,2
253,2
254,2
255,13
256,1
257,0
258,0
259,7030
260,8
261,1
262,17
263,2
264,17
265,8
266,0
267,6
268,0
269,7030
270,0
271,2
272,0
273,1
274,4
275,9
276,4
277,7030
278,19
279,9
280,8
281,7030
282,8
283,4
284,17
285,8
286,8
287,8
288,19
289,17
290,4
291,8
292,1
293,2
294,9
295,4
296,13
297,17
298,19
299,5
300,2
301,8
302,8
303,4
304,2
305,2
306,8
307,5
308,6
309,13
310,6
311,6
312,6
313,19
314,9
315,5
316,6
317,7030
318,5
319,0
320,19
321,7030
322,2
323,4
324,2
325,0
326,13
327,19
328,9
329,17
330,17
331,19
332,17
333,9
334,8
335,1
336,9
337,17
338,0
339,17
340,7030
341,4
342,6
343,1
344,0
345,9
346,0
347,4
348,8
349,19
350,19
351,19
352,9
353,17
354,9
355,19
356,17
357,7030
358,13
359,13
360,13
361,4
362,17
363,9
364,17
365,19
366,5
367,1
368,0
369,0
370,8
371,7030
372,0
373,8
374,5
375,6
376,4
377,4
378,4
379,9
380,7030
381,2
382,8
383,5
384,4
385,19
386,5
387,1
388,5
389,17
390,7030
391,5
392,8
393,0
394,13
395,19
396,8
397,13
398,4
399,2
400,19
401,19
402,17
403,13
404,0
405,8
406,5
407,7030
408,9
409,17
410,19
411,8
412,19
413,13
414,17
415,6
416,17
417,13
418,2
419,13
420,6
421,19
422,1
423,4
424,6
425,19
426,1
427,1
428,0
429,4
430,1
431,1
432,17
433,9
434,9
435,17
436,4
437,4
438,2
439,0
440,9
441,7030
442,9
443,1
444,17
445,1
446,17
447,9
448,17
449,6
450,4
451,17
452,1
453,17
454,0
455,1
456,5
457,4
458,4
459,19
460,4
461,1
462,17
463,17
464,9
465,13
466,13
467,2
468,7030
469,7030
470,13
471,0
472,13
473,19
474,7030
475,2
476,0
477,9
478,7030
479,7030
480,8
481,0
482,5
483,7030
484,8
485,17
486,8
487,0
488,19
489,0
490,7030
491,2
492,13
493,13
494,17
495,2
496,2
497,17
498,1
499,7030
500,9
501,17
502,7030
503,8
504,5
505,2
506,5
507,7030
508,2
509,2
510,8
511,2
512,2
513,17
514,2
515,0
516,17
517,6
518,8
519,0
520,7030
521,1
522,8
523,5
524,6
525,6
526,5
527,5
528,8
529,7030
530,4
531,2
532,5
533,7030
534,9
535,13
536,13
537,19
538,5
539,13
540,0
541,6
542,7030
543,0
544,13
545,4
546,6
547,9
548,7030
549,19
550,17
551,5
552,5
553,9
554,17
555,17
556,1
557,0
558,8
559,7030
560,0
561,1
562,8
563,9
564,0
565,1
566,4
567,4
568,9
569,4
570,1
571,19
572,0
573,2
574,13
575,17
576,2
577,6
578,17
579,13
580,13
581,19
582,5
583,0
584,2
585,0
586,2
587,5
588,4
589,7030
590,17
591,9
592,4
593,4
594,4
595,8
596,5
597,0
598,8
599,8
600,8
601,17
602,8
603,17
604,19
605,19
606,8
607,5
608,5
609,7030
610,17
611,5
612,4
613,5
614,5
615,4
616,0
617,19
618,0
619,7030
620,9
621,9
622,6
623,6
624,9
625,0
626,6
627,4
628,4
629,6
630,13
631,2
632,8
633,5
634,19
635,4
636,4
637,0
638,4
639,19
640,17
641,4
642,5
643,6
644,1
645,5
646,9
647,0
648,8
649,0
650,13
651,13
652,17
653,17
654,13
655,17
656,9
657,19
658,7030
659,4
660,0
661,4
662,4
663,4
664,6
665,9
666,9
667,7030
668,9
669,19
670,17
671,17
672,6
673,9
674,9
675,7030
676,0
677,19
678,7030
679,7030
680,13
681,13
682,13
683,0
684,0
685,0
686,7030
687,2
688,2
689,5
690,17
691,19
692,7030
693,1
694,5
695,9
696,9
697,17
698,19
699,8
700,1
701,8
702,8
703,4
704,2
705,19
706,8
707,19
708,8
709,5
710,5
711,13
712,2
713,1
714,4
715,9
716,7030
717,17
718,6
719,1
720,13
721,6
722,2
723,8
724,9
725,17
726,0
727,13
728,5
729,6
730,6
731,6
732,4
733,7030
734,4
735,2
736,1
737,6
738,8
739,1
740,13
741,1
742,8
743,4
744,8
745,4
746,6
747,9
748,17
749,4
750,9
751,0
752,9
753,6
754,6
755,17
756,9
757,1
758,5
759,9
760,1
761,9
762,17
763,9
764,5
765,1
766,2
767,17
768,0
769,7030
770,2
771,0
772,0
773,0
774,7030
775,0
776,17
777,5
778,13
779,0
780,7030
781,2
782,5
783,2
784,1
785,17
786,17
787,4
788,9
789,4
790,4
791,9
792,7030
793,9
794,6
795,2
796,8
797,5
798,2
799,8
800,1
801,1
802,5
803,6
804,17
805,5
806,7030
807,4
808,17
809,4
810,4
811,8
812,19
813,4
814,5
815,2
816,1
817,17
818,5
819,19
820,7030
821,4
822,2
823,2
824,8
825,7030
826,6
827,6
828,8
829,7030
830,6
831,9
832,13
833,6
834,8
835,6
836,17
837,4
838,19
839,1
840,9
841,9
842,2
843,0
844,5
845,9
846,6
847,17
848,9
849,19
850,1
851,8
852,5
853,5
854,4
855,0
856,0
857,6
858,19
859,5
860,13
861,19
862,5
863,9
864,5
865,5
866,9
867,1
868,5
869,6
870,5
871,13
872,19
873,9
874,19
875,17
876,13
877,9
878,9
879,7030
880,7030
881,8
882,0
883,5
884,13
885,13
886,0
887,2
888,2
889,4
890,9
891,13
892,19
893,6
894,5
895,7030
896,1
897,9
898,5
899,8
900,2
901,1
902,0
903,17
904,6
905,13
906,7030
907,13
908,7030
909,7030
910,2
911,4
912,9
913,6
914,7030
915,9
916,6
917,17
918,7030
919,4
920,4
921,9
922,2
923,4
924,5
925,6
926,8
927,17
928,1
929,17
930,17
931,8
932,5
933,7030
934,4
935,8
936,8
937,2
938,8
939,8
940,13
941,5
942,2
943,2
944,13
945,19
946,2
947,2
948,7030
949,2
950,2
951,2
952,7030
953,7030
954,13
955,2
956,6
957,13
958,6
959,19
960,4
961,6
962,8
963,9
964,4
965,9
966,2
967,19
968,9
969,1
970,1
971,17
972,19
973,19
974,13
975,0
976,8
977,4
978,0
979,9
980,7030
981,9
982,7030
983,8
984,5
985,2
986,4
987,6
988,7030
989,17
990,9
991,17
992,9
993,17
994,17
995,5
996,6
997,5
998,4
999,19
1000,19
1001,1
1002,9
1003,6
1004,4
1005,19
1006,6
1007,7030
1008,6
1009,5
1010,19
1011,13
1012,9
1013,2
1014,13
1015,13
1016,4
1017,4
1018,0
1019,9
1020,13
1021,7030
1022,2
1023,7030
1024,19
1025,7030
1026,8
1027,17
1028,6
1029,7030
1030,17
1031,0
1032,19
1033,17
1034,8
1035,19
1036,7030
1037,0
1038,13
