Point_id,Cluster_id
0,0
1,1
2,17
3,9
4,4
5,5
6,6
7,6
8,8
9,9
10,13
11,6
12,4
13,13
14,7030
15,6
16,7030
17,17
18,17
19,19
20,13
21,13
22,5
23,7030
24,0
25,0
26,0
27,4
28,4
29,4486
30,13
31,5
32,1
33,1
34,2
35,6
36,9
37,8
38,17
39,17
40,8
41,2
42,5
43,17
44,0
45,6
46,0
47,6
48,17
49,8
50,17
51,17
52,6
53,17
54,9
55,5
56,4
57,17
58,8
59,17
60,6
61,4
62,7030
63,19
64,1
65,1
66,13
67,17
68,5
69,7030
70,9
71,9
72,7030
73,17
74,17
75,5
76,0
77,4
78,17
79,17
80,9
81,2
82,2
83,7030
84,5
85,7030
86,7030
87,17
88,4
89,7030
90,19
91,17
92,1
93,4
94,5
95,0
96,9
97,6
98,17
99,1
100,7030
101,17
102,8
103,17
104,4486
105,17
106,5
107,2
108,19
109,6
110,17
111,8
112,19
113,17
114,5
115,5
116,9
117,6
118,2
119,19
120,0
121,4486
122,19
123,4486
124,4486
125,4486
126,19
127,5
128,4
129,2
130,17
131,19
132,7030
133,5
134,17
135,17
136,4486
137,4486
138,9
139,8
140,7030
141,5
142,5
143,13
144,19
145,19
146,19
147,0
148,4486
149,1
150,4486
151,4486
152,1
153,4486
154,7030
155,1
156,4486
157,19
158,17
159,4486
160,5
161,1
162,4486
163,5
164,8
165,0
166,19
167,17
168,17
169,0
170,8
171,17
172,19
173,4486
174,19
175,19
176,0
177,19
178,6
179,19
180,19
181,17
182,5
183,2
184,19
185,4486
186,17
187,17
188,17
189,4486
190,17
191,0
192,17
193,17
194,13
195,17
196,4486
197,19
198,19
199,7030
200,7030
201,0
202,17
203,4
204,6
205,6
206,7030
207,9
208,4
209,17
210,13
211,5
212,7030
213,17
214,7030
215,4
216,8
217,4486
218,17
219,4
220,2
221,19
222,13
223,1
224,19
225,19
226,4486
227,7030
228,2
229,13
230,13
231,8
232,9
233,17
234,6
235,17
236,6
237,13
238,8
239,17
240,17
241,17
242,1
243,9
244,6
245,1
246,17
247,17
248,0
249,6
250,19
251,19
252,7030
253,2
254,4486
255,13
256,1
257,9
258,0
259,17
260,4
261,1
262,19
263,4486
264,8
265,8
266,7030
267,6
268,7030
269,7030
270,0
271,2
272,0
273,1
274,4
275,8
276,4
277,7030
278,5
279,9
280,4486
281,0
282,4486
283,5
284,17
285,17
286,17
287,4486
288,19
289,19
290,5
291,9
292,19
293,19
294,9
295,5
296,4486
297,0
298,5
299,5
300,2
301,4486
302,4486
303,8
304,2
305,2
306,0
307,5
308,6
309,4486
310,6
311,7030
312,9
313,13
314,2
315,6
316,6
317,17
318,17
319,0
320,1
321,7030
322,13
323,4
324,4
325,0
326,4486
327,5
328,9
329,6
330,8
331,8
332,8
333,4
334,8
335,8
336,9
337,0
338,17
339,2
340,17
341,17
342,6
343,8
344,4486
345,17
346,0
347,1
348,8
349,5
350,17
351,17
352,9
353,17
354,9
355,9
356,17
357,17
358,13
359,7030
360,17
361,4486
362,9
363,9
364,19
365,19
366,19
367,7030
368,7030
369,0
370,6
371,7030
372,0
373,8
374,19
375,6
376,13
377,4
378,17
379,9
380,17
381,4486
382,17
383,19
384,17
385,19
386,9
387,4486
388,17
389,17
390,17
391,19
392,4486
393,19
394,19
395,19
396,8
397,9
398,1
399,19
400,7030
401,13
402,17
403,19
404,8
405,0
406,5
407,17
408,4
409,1
410,1
411,4486
412,13
413,7030
414,19
415,8
416,6
417,7030
418,2
419,9
420,9
421,13
422,4486
423,13
424,6
425,9
426,8
427,8
428,0
429,8
430,1
431,17
432,8
433,4
434,4
435,8
436,4
437,7030
438,2
439,0
440,8
441,17
442,8
443,4486
444,19
445,1
446,17
447,8
448,4
449,6
450,17
451,17
452,5
453,19
454,17
455,1
456,9
457,7030
458,13
459,9
460,1
461,1
462,1
463,19
464,0
465,9
466,13
467,0
468,7030
469,7030
470,17
471,0
472,7030
473,4486
474,17
475,4
476,0
477,9
478,17
479,9
480,4486
481,17
482,17
483,17
484,7030
485,17
486,19
487,0
488,7030
489,0
490,7030
491,7030
492,7030
493,7030
494,8
495,4486
496,19
497,17
498,1
499,17
500,5
501,6
502,17
503,7030
504,9
505,2
506,2
507,17
508,0
509,19
510,17
511,2
512,19
513,17
514,4
515,0
516,8
517,17
518,8
519,19
520,17
521,4486
522,19
523,4486
524,4
525,13
526,7030
527,17
528,0
529,0
530,4486
531,7030
532,5
533,17
534,9
535,13
536,9
537,1
538,4486
539,7030
540,0
541,6
542,7030
543,9
544,13
545,7030
546,7030
547,9
548,1
549,9
550,19
551,2
552,19
553,8
554,8
555,19
556,1
557,6
558,17
559,17
560,7030
561,1
562,9
563,5
564,2
565,2
566,4
567,5
568,4
569,13
570,13
571,1
572,0
573,13
574,4486
575,19
576,19
577,6
578,19
579,13
580,9
581,19
582,5
583,0
584,2
585,7030
586,2
587,7030
588,7030
589,7030
590,17
591,4486
592,13
593,4
594,8
595,7030
596,17
597,0
598,2
599,17
600,8
601,19
602,19
603,19
604,0
605,19
606,8
607,5
608,17
609,17
610,8
611,19
612,5
613,4486
614,5
615,5
616,0
617,1
618,0
619,7030
620,2
621,4
622,17
623,17
624,4
625,4
626,6
627,4
628,13
629,6
630,13
631,6
632,4486
633,5
634,13
635,5
636,0
637,0
638,13
639,1
640,13
641,8
642,5
643,4
644,8
645,13
646,17
647,8
648,8
649,0
650,13
651,13
652,1
653,17
654,13
655,4
656,9
657,5
658,1
659,4
660,4
661,5
662,4
663,4
664,6
665,0
666,9
667,17
668,0
669,5
670,19
671,19
672,17
673,4
674,4
675,7030
676,0
677,19
678,7030
679,17
680,13
681,9
682,13
683,0
684,2
685,9
686,17
687,7030
688,0
689,19
690,19
691,9
692,7030
693,1
694,2
695,17
696,4
697,17
698,19
699,17
700,4486
701,4486
702,8
703,5
704,2
705,1
706,4486
707,19
708,19
709,5
710,19
711,13
712,19
713,17
714,4
715,9
716,4
717,17
718,6
719,4486
720,4486
721,6
722,17
723,8
724,1
725,17
726,0
727,13
728,13
729,17
730,6
731,6
732,6
733,17
734,13
735,13
736,1
737,17
738,0
739,4
740,4486
741,5
742,4
743,17
744,17
745,17
746,6
747,17
748,19
749,0
750,4
751,1
752,4
753,6
754,6
755,13
756,4
757,1
758,5
759,9
760,1
761,5
762,1
763,4
764,9
765,1
766,7030
767,19
768,7030
769,17
770,19
771,0
772,9
773,0
774,7030
775,17
776,17
777,19
778,13
779,2
780,7030
781,2
782,19
783,4486
784,4486
785,19
786,8
787,17
788,17
789,4
790,5
791,17
792,17
793,17
794,4
795,2
796,4486
797,19
798,2
799,4486
800,4486
801,4486
802,5
803,6
804,19
805,9
806,7030
807,8
808,1
809,0
810,4
811,4486
812,19
813,5
814,2
815,13
816,9
817,8
818,13
819,17
820,7030
821,5
822,4486
823,7030
824,8
825,4486
826,7030
827,6
828,17
829,17
830,6
831,17
832,13
833,6
834,19
835,6
836,8
837,13
838,13
839,1
840,1
841,5
842,2
843,0
844,8
845,8
846,6
847,8
848,8
849,1
850,4486
851,8
852,9
853,5
854,1
855,0
856,0
857,6
858,8
859,9
860,13
861,17
862,17
863,4
864,17
865,5
866,4
867,1
868,9
869,6
870,9
871,9
872,1
873,4
874,5
875,1
876,9
877,9
878,17
879,7030
880,0
881,8
882,9
883,13
884,9
885,13
886,8
887,13
888,2
889,0
890,4
891,13
892,19
893,6
894,7030
895,17
896,5
897,5
898,9
899,17
900,4486
901,19
902,1
903,5
904,6
905,4486
906,7030
907,7030
908,0
909,7030
910,17
911,5
912,17
913,17
914,17
915,17
916,6
917,19
918,7030
919,13
920,4
921,17
922,2
923,0
924,5
925,6
926,4486
927,7030
928,4486
929,19
930,19
931,17
932,19
933,4
934,1
935,5
936,8
937,2
938,4486
939,4486
940,19
941,9
942,4486
943,2
944,13
945,0
946,2
947,7030
948,7030
949,2
950,2
951,5
952,8
953,17
954,13
955,2
956,6
957,7030
958,6
959,9
960,7030
961,6
962,4486
963,19
964,1
965,8
966,5
967,5
968,5
969,1
970,5
971,8
972,9
973,8
974,13
975,0
976,17
977,8
978,17
979,2
980,17
981,17
982,17
983,8
984,17
985,13
986,13
987,6
988,17
989,17
990,4
991,4
992,9
993,8
994,17
995,5
996,6
997,5
998,17
999,19
1000,19
1001,1
1002,17
1003,6
1004,5
1005,5
1006,9
1007,17
1008,6
1009,19
1010,19
1011,13
1012,9
1013,2
1014,13
1015,9
1016,13
1017,13
1018,7030
1019,2
1020,13
1021,17
1022,17
1023,17
1024,9
1025,17
1026,4486
1027,6
