Point_id,Cluster_id
0,0
1,1
2,7030
3,9
4,4
5,5
6,6
7,6
8,8
9,9
10,13
11,7030
12,17
13,13
14,6
15,6
16,1
17,7030
18,0
19,19
20,13
21,13
22,19
23,8
24,8
25,7030
26,5
27,4
28,5
29,17
30,13
31,2
32,17
33,19
34,2
35,6
36,9
37,1
38,7030
39,7030
40,5
41,1
42,2
43,7030
44,7030
45,6
46,0
47,6
48,17
49,5
50,7030
51,7030
52,6
53,13
54,9
55,2
56,4
57,17
58,5
59,7030
60,4
61,6
62,0
63,17
64,19
65,19
66,13
67,7030
68,4
69,8
70,13
71,9
72,8
73,7030
74,7030
75,19
76,13
77,8
78,7030
79,7030
80,9
81,0
82,0
83,8
84,2
85,8
86,8
87,7030
88,4
89,4
90,8
91,7030
92,6
93,4
94,4
95,5
96,9
97,6
98,7030
99,5
100,7030
101,7030
102,8
103,8
104,0
105,7030
106,5
107,2
108,1
109,1
110,7030
111,8
112,19
113,7030
114,0
115,2
116,9
117,1
118,2
119,8
120,0
121,1
122,17
123,0
124,1
125,1
126,2
127,17
128,4
129,2
130,7030
131,19
132,0
133,0
134,1
135,7030
136,1
137,1
138,0
139,8
140,0
141,2
142,2
143,2
144,0
145,1
146,2
147,0
148,0
149,7030
150,0
151,0
152,19
153,0
154,0
155,0
156,0
157,8
158,0
159,17
160,19
161,0
162,0
163,2
164,8
165,0
166,17
167,7030
168,1
169,5
170,8
171,7030
172,19
173,1
174,1
175,1
176,17
177,17
178,8
179,0
180,17
181,7030
182,2
183,0
184,2
185,0
186,7030
187,7030
188,1
189,0
190,17
191,0
192,7030
193,7030
194,13
195,7030
196,0
197,17
198,0
199,7030
200,8
201,7030
202,19
203,4
204,4
205,19
206,9
207,9
208,8
209,7030
210,13
211,13
212,7030
213,7030
214,0
215,4
216,8
217,1
218,2
219,4
220,17
221,17
222,13
223,5
224,2
225,2
226,0
227,17
228,17
229,13
230,13
231,8
232,9
233,17
234,6
235,17
236,6
237,13
238,5
239,7030
240,7030
241,7030
242,19
243,9
244,19
245,5
246,5
247,7030
248,4
249,19
250,8
251,19
252,13
253,2
254,13
255,13
256,9
257,0
258,0
259,7030
260,4
261,5
262,17
263,1
264,5
265,8
266,8
267,6
268,8
269,7030
270,8
271,8
272,8
273,6
274,7030
275,1
276,4
277,7030
278,19
279,9
280,1
281,0
282,4
283,5
284,17
285,7030
286,7030
287,9
288,2
289,2
290,5
291,1
292,0
293,1
294,9
295,5
296,1
297,8
298,19
299,2
300,2
301,1
302,0
303,5
304,2
305,8
306,8
307,13
308,19
309,13
310,6
311,7030
312,9
313,19
314,2
315,7030
316,6
317,7030
318,7030
319,5
320,19
321,7030
322,13
323,4
324,4
325,8
326,13
327,19
328,1
329,6
330,8
331,5
332,1
333,4
334,5
335,5
336,9
337,17
338,9
339,17
340,7030
341,17
342,17
343,5
344,1
345,7030
346,5
347,5
348,5
349,19
350,7030
351,7030
352,9
353,17
354,9
355,2
356,17
357,7030
358,13
359,0
360,7030
361,0
362,7030
363,9
364,17
365,1
366,2
367,7030
368,0
369,0
370,8
371,7030
372,8
373,5
374,17
375,6
376,4
377,4
378,7030
379,9
380,7030
381,1
382,7030
383,1
384,19
385,17
386,1
387,0
388,7030
389,17
390,7030
391,2
392,8
393,0
394,2
395,19
396,8
397,0
398,19
399,8
400,9
401,19
402,7030
403,17
404,8
405,8
406,6
407,7030
408,4
409,1
410,19
411,4
412,19
413,13
414,6
415,8
416,6
417,13
418,13
419,13
420,9
421,19
422,0
423,19
424,6
425,9
426,1
427,5
428,9
429,5
430,5
431,1
432,8
433,4
434,4
435,8
436,4
437,5
438,6
439,5
440,2
441,7030
442,1
443,5
444,17
445,1
446,17
447,5
448,17
449,6
450,7030
451,17
452,13
453,9
454,7030
455,9
456,9
457,17
458,13
459,9
460,9
461,1
462,17
463,17
464,4
465,9
466,13
467,0
468,7030
469,4
470,7030
471,0
472,13
473,0
474,7030
475,4
476,4
477,9
478,7030
479,9
480,1
481,7030
482,7030
483,1
484,5
485,2
486,2
487,8
488,8
489,7030
490,8
491,1
492,13
493,8
494,8
495,0
496,1
497,1
498,19
499,7030
500,9
501,6
502,7030
503,8
504,9
505,13
506,2
507,7030
508,0
509,1
510,0
511,2
512,1
513,1
514,4
515,0
516,8
517,7030
518,8
519,0
520,7030
521,1
522,7030
523,13
524,4
525,17
526,2
527,2
528,4
529,4
530,5
531,7030
532,2
533,7030
534,9
535,13
536,9
537,19
538,4
539,13
540,8
541,19
542,7030
543,9
544,6
545,13
546,4
547,9
548,5
549,9
550,17
551,2
552,2
553,1
554,1
555,1
556,1
557,6
558,4
559,7030
560,0
561,5
562,9
563,4
564,17
565,6
566,4
567,17
568,4
569,0
570,6
571,9
572,17
573,13
574,0
575,17
576,19
577,19
578,7030
579,13
580,9
581,8
582,2
583,0
584,1
585,7030
586,0
587,7030
588,8
589,8
590,7030
591,1
592,13
593,4
594,5
595,8
596,7030
597,0
598,8
599,7030
600,8
601,1
602,1
603,0
604,19
605,19
606,5
607,2
608,7030
609,7030
610,8
611,2
612,4
613,0
614,2
615,5
616,0
617,8
618,5
619,8
620,4
621,4
622,7030
623,7030
624,4
625,0
626,6
627,4
628,19
629,6
630,13
631,1
632,1
633,2
634,19
635,19
636,7030
637,19
638,13
639,19
640,17
641,5
642,2
643,4
644,1
645,5
646,7030
647,5
648,5
649,5
650,13
651,13
652,17
653,17
654,13
655,17
656,9
657,19
658,17
659,17
660,4
661,5
662,4
663,4
664,19
665,9
666,9
667,7030
668,4
669,19
670,2
671,17
672,7030
673,4
674,7030
675,7030
676,0
677,19
678,13
679,0
680,13
681,9
682,13
683,17
684,0
685,9
686,7030
687,8
688,8
689,2
690,2
691,19
692,13
693,5
694,2
695,7030
696,9
697,17
698,19
699,7030
700,0
701,1
702,2
703,5
704,5
705,5
706,7030
707,2
708,8
709,19
710,2
711,0
712,2
713,0
714,4
715,9
716,4
717,7030
718,6
719,0
720,13
721,8
722,8
723,8
724,1
725,7030
726,0
727,13
728,13
729,7030
730,6
731,6
732,0
733,7030
734,13
735,4
736,5
737,7030
738,5
739,5
740,1
741,5
742,4
743,5
744,0
745,7030
746,1
747,9
748,17
749,0
750,4
751,5
752,9
753,6
754,6
755,17
756,4
757,17
758,17
759,9
760,5
761,4
762,17
763,4
764,9
765,1
766,0
767,8
768,13
769,7030
770,2
771,0
772,9
773,0
774,7030
775,7030
776,17
777,2
778,13
779,8
780,8
781,8
782,2
783,0
784,1
785,9
786,9
787,7030
788,7030
789,4
790,5
791,7030
792,7030
793,7030
794,4
795,13
796,0
797,2
798,1
799,1
800,0
801,6
802,2
803,6
804,2
805,9
806,0
807,5
808,6
809,5
810,4
811,5
812,8
813,4
814,2
815,13
816,9
817,8
818,2
819,19
820,9
821,19
822,1
823,4
824,5
825,6
826,8
827,6
828,7030
829,7030
830,6
831,7030
832,7030
833,6
834,8
835,6
836,8
837,7030
838,19
839,5
840,5
841,4
842,6
843,1
844,2
845,5
846,6
847,17
848,1
849,19
850,5
851,5
852,1
853,19
854,19
855,9
856,7030
857,4
858,5
859,9
860,13
861,19
862,1
863,4
864,7030
865,2
866,4
867,1
868,9
869,4
870,9
871,9
872,19
873,4
874,19
875,17
876,9
877,17
878,7030
879,7030
880,7030
881,5
882,7030
883,2
884,13
885,13
886,9
887,13
888,13
889,4
890,4
891,13
892,2
893,6
894,2
895,7030
896,5
897,4
898,9
899,7030
900,1
901,0
902,5
903,17
904,8
905,13
906,8
907,8
908,7030
909,17
910,2
911,5
912,1
913,7030
914,7030
915,7030
916,6
917,17
918,7030
919,4
920,4
921,4
922,4
923,4
924,2
925,6
926,4
927,8
928,0
929,17
930,1
931,7030
932,2
933,4
934,5
935,4
936,5
937,2
938,8
939,1
940,2
941,1
942,1
943,0
944,13
945,19
946,1
947,8
948,8
949,5
950,2
951,2
952,5
953,7030
954,13
955,6
956,6
957,7030
958,6
959,9
960,13
961,19
962,5
963,1
964,5
965,9
966,4
967,9
968,5
969,9
970,5
971,1
972,9
973,5
974,13
975,0
976,1
977,5
978,7030
979,4
980,7030
981,4
982,7030
983,5
984,7030
985,13
986,13
987,2
988,7030
989,7030
990,1
991,8
992,6
993,17
994,17
995,2
996,6
997,9
998,17
999,19
1000,19
1001,5
1002,7030
1003,6
1004,19
1005,19
1006,9
1007,7030
1008,19
1009,2
1010,0
1011,13
1012,9
1013,8
1014,13
1015,6
1016,13
1017,13
1018,8
1019,13
1020,17
1021,7030
1022,7030
1023,1
1024,9
1025,7030
1026,1
1027,6
